Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,tape 096+098 SnBiAg back
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,11:56:20
Irradiance:  ,1000.07
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.7809
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.35181
Isc:         ,4.32054
Rseries:     ,0.02729
Rshunt:      ,5.04497
Pmax:        ,4.61107
Vpm:         ,1.13285
Ipm:         ,4.07031
Fill Factor: ,0.78949
Active Eff:  ,16.8195
Aperture Eff:,16.8195
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,1000.51
IntV:        ,6.99014
IntV2:       ,6.99977
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,167.044
PulseWidth2: ,167.575
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.5142
TRef2:       ,25.2013
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,167.044
PulseWidth22:,167.575
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,167.044
PulseWidth23:,167.575
 Voltage:    , Current:
 -2.177871 , 5.1388660
 -2.177432 , 5.1376840
 -2.177324 , 5.1390500
 -2.177276 , 5.1387060
 -2.177111 , 5.1374460
 -2.176809 , 5.1384480
 -2.176804 , 5.1374860
 -2.176350 , 5.1355750
 -2.176306 , 5.1355680
 -2.176248 , 5.1360250
 -2.176142 , 5.1353240
 -2.176092 , 5.1328170
 -2.175760 , 5.1342680
 -2.175646 , 5.1325980
 -2.175586 , 5.1333990
 -2.175479 , 5.1340990
 -2.175462 , 5.1345830
 -2.175399 , 5.1286520
 -2.175360 , 5.1321850
 -2.175225 , 5.1317320
 -2.174978 , 5.1305440
 -2.174927 , 5.1309260
 -2.174918 , 5.1329840
 -2.174773 , 5.1292300
 -2.174660 , 5.1311300
 -2.174507 , 5.1299310
 -2.174464 , 5.1277390
 -2.174117 , 5.1302280
 -2.173891 , 5.1261580
 -2.173813 , 5.1279910
 -2.173800 , 5.1273740
 -2.173743 , 5.1258750
 -2.173706 , 5.1240950
 -2.173548 , 5.1279270
 -2.173545 , 5.1250500
 -2.173490 , 5.1251200
 -2.173236 , 5.1254980
 -2.173163 , 5.1226110
 -2.172980 , 5.1236850
 -2.172700 , 5.1214080
 -2.172668 , 5.1225140
 -2.172532 , 5.1214250
 -2.172493 , 5.1196310
 -2.172440 , 5.1242490
 -2.172412 , 5.1203980
 -2.172375 , 5.1180720
 -2.172240 , 5.1181400
 -2.171863 , 5.1216100
 -2.171736 , 5.1216450
 -2.171430 , 5.1192510
 -2.171428 , 5.1174860
 -2.171405 , 5.1149560
 -2.171109 , 5.1193170
 -2.171019 , 5.1173930
 -2.171013 , 5.1155150
 -2.170873 , 5.1141370
 -2.170849 , 5.1147220
 -2.170779 , 5.1103410
 -2.170648 , 5.1169370
 -2.170530 , 5.1174800
 -2.170397 , 5.1124790
 -2.170242 , 5.1128620
 -2.170175 , 5.1113990
 -2.170032 , 5.1145620
 -2.169993 , 5.1151490
 -2.169763 , 5.1122510
 -2.169606 , 5.1098450
 -2.169596 , 5.1072340
 -2.169464 , 5.1104480
 -2.169376 , 5.1132990
 -2.169180 , 5.1100650
 -2.169154 , 5.1114400
 -2.168826 , 5.1073800
 -2.168585 , 5.1088420
 -2.168139 , 5.1060510
 -2.168125 , 5.1091130
 -2.167998 , 5.1048340
 -2.167885 , 5.1056530
 -2.167841 , 5.1082590
 -2.167773 , 5.1084220
 -2.167651 , 5.1028050
 -2.167638 , 5.1039990
 -2.167581 , 5.1027990
 -2.167526 , 5.1056280
 -2.167293 , 5.1044600
 -2.167203 , 5.1033790
 -2.167178 , 5.1018590
 -2.167012 , 5.1016350
 -2.166956 , 5.1021470
 -2.166936 , 5.1035900
 -2.166328 , 5.1016410
 -2.166301 , 5.1007710
 -2.166246 , 5.0982680
 -2.166208 , 5.1019710
 -2.166175 , 5.0980690
 -2.166148 , 5.0980530
 -2.165976 , 5.0982380
 -2.165813 , 5.0965390
 -2.165650 , 5.0960520
 -2.165275 , 5.0964050
 -2.165248 , 5.0965500
 -2.165003 , 5.0953680
 -2.164749 , 5.0932170
 -2.164732 , 5.0924990
 -2.164543 , 5.0936320
 -2.164505 , 5.0900440
 -2.164426 , 5.0957160
 -2.164377 , 5.0889930
 -2.164349 , 5.0946730
 -2.163854 , 5.0921840
 -2.163637 , 5.0936550
 -2.163572 , 5.0909050
 -2.163533 , 5.0913030
 -2.163419 , 5.0892780
 -2.163131 , 5.0884200
 -2.163008 , 5.0913820
 -2.163006 , 5.0876080
 -2.162867 , 5.0866600
 -2.162804 , 5.0868760
 -2.162699 , 5.0829630
 -2.162560 , 5.0881290
 -2.162180 , 5.0863900
 -2.162095 , 5.0841460
 -2.162019 , 5.0847090
 -2.161906 , 5.0843270
 -2.161876 , 5.0808530
 -2.161543 , 5.0851140
 -2.161393 , 5.0838500
 -2.161333 , 5.0803000
 -2.160965 , 5.0820110
 -2.160895 , 5.0833060
 -2.160561 , 5.0784720
 -2.160429 , 5.0790740
 -2.160399 , 5.0813640
 -2.160284 , 5.0791530
 -2.160272 , 5.0804850
 -2.160110 , 5.0782070
 -2.159857 , 5.0770040
 -2.159740 , 5.0768190
 -2.159490 , 5.0768450
 -2.159281 , 5.0762090
 -2.159094 , 5.0758310
 -2.158969 , 5.0747070
 -2.158935 , 5.0733740
 -2.158847 , 5.0760320
 -2.158847 , 5.0734620
 -2.158830 , 5.0723000
 -2.158471 , 5.0734950
 -2.158072 , 5.0706880
 -2.157851 , 5.0710960
 -2.157659 , 5.0715530
 -2.157648 , 5.0719450
 -2.157389 , 5.0688500
 -2.157268 , 5.0675180
 -2.157223 , 5.0688090
 -2.157164 , 5.0676880
 -2.157129 , 5.0705180
 -2.157072 , 5.0688930
 -2.156701 , 5.0669590
 -2.156389 , 5.0681450
 -2.156109 , 5.0657160
 -2.155993 , 5.0648460
 -2.155921 , 5.0652280
 -2.155824 , 5.0625720
 -2.155756 , 5.0646690
 -2.155755 , 5.0625030
 -2.155645 , 5.0624580
 -2.155183 , 5.0610290
 -2.155142 , 5.0628300
 -2.154999 , 5.0610790
 -2.154865 , 5.0621290
 -2.154748 , 5.0591040
 -2.154572 , 5.0603190
 -2.154570 , 5.0584440
 -2.154431 , 5.0593410
 -2.154077 , 5.0561840
 -2.153940 , 5.0574820
 -2.153869 , 5.0596730
 -2.153577 , 5.0565450
 -2.153049 , 5.0538830
 -2.153039 , 5.0561890
 -2.152965 , 5.0544140
 -2.152891 , 5.0519730
 -2.152789 , 5.0514700
 -2.152529 , 5.0552020
 -2.152385 , 5.0544910
 -2.152361 , 5.0519740
 -2.151957 , 5.0506290
