Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,ME2 052+074 SnBiInAg front
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,11:51:40
Irradiance:  ,1000.06
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.8840
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.35828
Isc:         ,5.38430
Rseries:     ,0.03082
Rshunt:      ,53.0087
Pmax:        ,5.48674
Vpm:         ,1.09001
Ipm:         ,5.03363
Fill Factor: ,0.75023
Active Eff:  ,20.0136
Aperture Eff:,20.0136
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,1000.10
IntV:        ,6.98938
IntV2:       ,6.99917
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,167.539
PulseWidth2: ,167.646
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.2375
TRef2:       ,24.9835
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,167.539
PulseWidth22:,167.646
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,167.539
PulseWidth23:,167.646
 Voltage:    , Current:
 -1.438073 , 5.4350450
 -1.436802 , 5.4333680
 -1.436636 , 5.4340620
 -1.435754 , 5.4333750
 -1.435660 , 5.4347320
 -1.434905 , 5.4336080
 -1.433570 , 5.4341500
 -1.431279 , 5.4328210
 -1.431050 , 5.4320070
 -1.430739 , 5.4332590
 -1.430016 , 5.4328580
 -1.428469 , 5.4321480
 -1.426653 , 5.4322780
 -1.426049 , 5.4329710
 -1.425732 , 5.4321370
 -1.425714 , 5.4319890
 -1.424154 , 5.4322160
 -1.422223 , 5.4306350
 -1.422188 , 5.4319630
 -1.421134 , 5.4315360
 -1.420970 , 5.4306930
 -1.420862 , 5.4307420
 -1.419007 , 5.4306260
 -1.417487 , 5.4303070
 -1.417098 , 5.4295710
 -1.416898 , 5.4294310
 -1.416855 , 5.4299180
 -1.416091 , 5.4301500
 -1.415801 , 5.4299260
 -1.412873 , 5.4295440
 -1.412758 , 5.4291760
 -1.412331 , 5.4300490
 -1.412272 , 5.4291110
 -1.410815 , 5.4291340
 -1.407703 , 5.4282720
 -1.406052 , 5.4282720
 -1.405681 , 5.4271980
 -1.405656 , 5.4287840
 -1.405342 , 5.4283080
 -1.403502 , 5.4270430
 -1.402094 , 5.4269050
 -1.401998 , 5.4265240
 -1.401941 , 5.4273610
 -1.401567 , 5.4268580
 -1.400873 , 5.4265490
 -1.397819 , 5.4263350
 -1.397644 , 5.4263840
 -1.397208 , 5.4257280
 -1.397067 , 5.4253770
 -1.396733 , 5.4266380
 -1.395021 , 5.4250720
 -1.394745 , 5.4257120
 -1.394244 , 5.4258260
 -1.393600 , 5.4254000
 -1.393498 , 5.4250120
 -1.392545 , 5.4241440
 -1.390761 , 5.4252090
 -1.390459 , 5.4257730
 -1.389776 , 5.4258230
 -1.389444 , 5.4232360
 -1.388687 , 5.4227420
 -1.386794 , 5.4233710
 -1.386224 , 5.4244930
 -1.386055 , 5.4243910
 -1.384974 , 5.4246690
 -1.382696 , 5.4229850
 -1.379571 , 5.4223610
 -1.378843 , 5.4233750
 -1.378548 , 5.4219280
 -1.377664 , 5.4230560
 -1.376716 , 5.4212610
 -1.374431 , 5.4216370
 -1.373521 , 5.4219450
 -1.373072 , 5.4208450
 -1.372969 , 5.4233070
 -1.372835 , 5.4188840
 -1.372420 , 5.4205440
 -1.371647 , 5.4221530
 -1.371440 , 5.4222930
 -1.370642 , 5.4218200
 -1.369025 , 5.4205890
 -1.367218 , 5.4190820
 -1.364031 , 5.4200330
 -1.362980 , 5.4200770
 -1.362267 , 5.4203720
 -1.360626 , 5.4200630
 -1.358723 , 5.4181850
 -1.355632 , 5.4183010
 -1.354815 , 5.4174400
 -1.354375 , 5.4183840
 -1.353674 , 5.4183120
 -1.353348 , 5.4188950
 -1.353112 , 5.4194050
 -1.350525 , 5.4191760
 -1.349375 , 5.4175960
 -1.349321 , 5.4171480
 -1.349203 , 5.4176230
 -1.348907 , 5.4176520
 -1.347581 , 5.4176400
 -1.346225 , 5.4173690
 -1.346137 , 5.4174510
 -1.345250 , 5.4171230
 -1.343467 , 5.4151860
 -1.341531 , 5.4158420
 -1.341267 , 5.4160630
 -1.341136 , 5.4162440
 -1.340162 , 5.4166030
 -1.339549 , 5.4158320
 -1.337388 , 5.4163380
 -1.334829 , 5.4169510
 -1.334687 , 5.4146210
 -1.333604 , 5.4147790
 -1.331524 , 5.4149330
 -1.329052 , 5.4153800
 -1.327392 , 5.4157510
 -1.327093 , 5.4146220
 -1.325738 , 5.4142900
 -1.323241 , 5.4145410
 -1.321074 , 5.4134140
 -1.319790 , 5.4137500
 -1.319585 , 5.4141020
 -1.319551 , 5.4142800
 -1.317187 , 5.4138590
 -1.314091 , 5.4134140
 -1.312167 , 5.4126180
 -1.311761 , 5.4130040
 -1.311526 , 5.4128870
 -1.310149 , 5.4139370
 -1.307816 , 5.4126900
 -1.304799 , 5.4119720
 -1.302939 , 5.4119310
 -1.302242 , 5.4124160
 -1.302151 , 5.4115410
 -1.300187 , 5.4116060
 -1.297871 , 5.4104290
 -1.295634 , 5.4122950
 -1.295138 , 5.4122240
 -1.294560 , 5.4115940
 -1.292882 , 5.4104760
 -1.290157 , 5.4103540
 -1.289062 , 5.4094800
 -1.288730 , 5.4102750
 -1.288494 , 5.4110660
 -1.287643 , 5.4099900
 -1.285610 , 5.4100420
 -1.285432 , 5.4095910
 -1.284573 , 5.4098750
 -1.283237 , 5.4104730
 -1.280861 , 5.4101080
 -1.279641 , 5.4095970
 -1.279509 , 5.4072010
 -1.277401 , 5.4091250
 -1.275510 , 5.4090660
 -1.274943 , 5.4088320
 -1.273687 , 5.4084200
 -1.272308 , 5.4088200
 -1.270824 , 5.4086260
 -1.270140 , 5.4089410
 -1.268627 , 5.4073940
 -1.266672 , 5.4073540
 -1.265103 , 5.4075740
 -1.264856 , 5.4079630
 -1.261748 , 5.4082500
 -1.259331 , 5.4080030
 -1.256777 , 5.4068440
 -1.254934 , 5.4069580
 -1.252917 , 5.4060600
 -1.249549 , 5.4073340
 -1.246510 , 5.4064520
 -1.244837 , 5.4057950
 -1.242744 , 5.4054880
 -1.241293 , 5.4057740
 -1.238801 , 5.4057920
 -1.236945 , 5.4067290
 -1.235313 , 5.4052500
 -1.233532 , 5.4050260
 -1.230978 , 5.4044180
 -1.229633 , 5.4053200
 -1.228912 , 5.4052370
 -1.228646 , 5.4059050
 -1.227472 , 5.4037750
 -1.225470 , 5.4043630
 -1.223482 , 5.4036240
 -1.221466 , 5.4043960
 -1.221465 , 5.4050660
 -1.220367 , 5.4048520
 -1.216399 , 5.4045020
 -1.211821 , 5.4045250
