Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,ME1 171+189 SnBiAg front
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,11:39:06
Irradiance:  ,999.963
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.7046
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.36274
Isc:         ,5.45624
Rseries:     ,0.03018
Rshunt:      ,61.0273
Pmax:        ,5.57228
Vpm:         ,1.09019
Ipm:         ,5.11126
Fill Factor: ,0.74942
Active Eff:  ,20.3256
Aperture Eff:,20.3256
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,1000.11
IntV:        ,6.98789
IntV2:       ,6.99784
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,166.938
PulseWidth2: ,167.646
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,24.6304
TRef2:       ,24.4353
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,166.938
PulseWidth22:,167.646
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,166.938
PulseWidth23:,167.646
 Voltage:    , Current:
 -1.461629 , 5.5108880
 -1.461241 , 5.5112600
 -1.460933 , 5.5114470
 -1.460389 , 5.5120310
 -1.460091 , 5.5106110
 -1.457835 , 5.5109180
 -1.454549 , 5.5107280
 -1.453947 , 5.5086910
 -1.453866 , 5.5101900
 -1.453577 , 5.5097430
 -1.451823 , 5.5089280
 -1.448939 , 5.5075350
 -1.447489 , 5.5078650
 -1.446529 , 5.5089880
 -1.446272 , 5.5092520
 -1.445532 , 5.5075120
 -1.443040 , 5.5070770
 -1.440897 , 5.5054750
 -1.438981 , 5.5069950
 -1.438554 , 5.5062380
 -1.438522 , 5.5064030
 -1.437722 , 5.5061140
 -1.435547 , 5.5054220
 -1.433885 , 5.5055580
 -1.433792 , 5.5042190
 -1.433748 , 5.5031970
 -1.433641 , 5.5057170
 -1.432862 , 5.5053150
 -1.431888 , 5.5030250
 -1.429496 , 5.5042850
 -1.429034 , 5.5036740
 -1.428755 , 5.5049100
 -1.427531 , 5.5032010
 -1.425477 , 5.5018090
 -1.421290 , 5.5020700
 -1.418569 , 5.5007720
 -1.418173 , 5.5016080
 -1.417845 , 5.5017950
 -1.417223 , 5.5008970
 -1.415203 , 5.4996180
 -1.411650 , 5.5005350
 -1.409298 , 5.4995670
 -1.408373 , 5.4991090
 -1.407870 , 5.5002880
 -1.407478 , 5.5000050
 -1.404927 , 5.4990080
 -1.403746 , 5.4978510
 -1.403072 , 5.4975590
 -1.403034 , 5.4976260
 -1.402142 , 5.4983730
 -1.401790 , 5.4972240
 -1.401056 , 5.4962010
 -1.399431 , 5.4964390
 -1.398999 , 5.4965170
 -1.398849 , 5.4969920
 -1.398381 , 5.4969050
 -1.398301 , 5.4965310
 -1.396205 , 5.4950610
 -1.391866 , 5.4944990
 -1.389818 , 5.4946110
 -1.389518 , 5.4937000
 -1.388919 , 5.4954880
 -1.388155 , 5.4944520
 -1.385846 , 5.4928240
 -1.381737 , 5.4936060
 -1.378946 , 5.4939220
 -1.377714 , 5.4937410
 -1.376645 , 5.4917910
 -1.375603 , 5.4916800
 -1.372349 , 5.4924170
 -1.368800 , 5.4913570
 -1.366504 , 5.4907970
 -1.366182 , 5.4914410
 -1.365125 , 5.4922300
 -1.364238 , 5.4914010
 -1.361868 , 5.4892410
 -1.359140 , 5.4895520
 -1.357882 , 5.4896120
 -1.357819 , 5.4889630
 -1.357217 , 5.4895430
 -1.356810 , 5.4900430
 -1.355451 , 5.4890490
 -1.353919 , 5.4881750
 -1.353769 , 5.4881170
 -1.353522 , 5.4888320
 -1.352357 , 5.4882010
 -1.349591 , 5.4880930
 -1.348112 , 5.4882660
 -1.345509 , 5.4882370
 -1.342380 , 5.4867320
 -1.337854 , 5.4870210
 -1.335720 , 5.4857640
 -1.334839 , 5.4859060
 -1.332691 , 5.4857780
 -1.329626 , 5.4854350
 -1.326766 , 5.4859480
 -1.324764 , 5.4863000
 -1.322899 , 5.4852610
 -1.319028 , 5.4844250
 -1.314882 , 5.4833370
 -1.312115 , 5.4841810
 -1.310215 , 5.4841520
 -1.308396 , 5.4825330
 -1.305514 , 5.4824100
 -1.303340 , 5.4834680
 -1.303091 , 5.4829590
 -1.302077 , 5.4824900
 -1.300424 , 5.4809520
 -1.297407 , 5.4818830
 -1.295025 , 5.4818620
 -1.293549 , 5.4814610
 -1.292358 , 5.4813440
 -1.289166 , 5.4816840
 -1.286478 , 5.4800810
 -1.283175 , 5.4800460
 -1.282244 , 5.4796780
 -1.281816 , 5.4803750
 -1.280265 , 5.4804780
 -1.277544 , 5.4783540
 -1.273207 , 5.4783970
 -1.269200 , 5.4793840
 -1.267529 , 5.4797990
 -1.266449 , 5.4785090
 -1.264636 , 5.4769860
 -1.262356 , 5.4775550
 -1.258499 , 5.4782100
 -1.255981 , 5.4771520
 -1.254456 , 5.4772420
 -1.252921 , 5.4774950
 -1.250143 , 5.4772480
 -1.245041 , 5.4771970
 -1.240942 , 5.4761660
 -1.238113 , 5.4764660
 -1.234964 , 5.4768010
 -1.232087 , 5.4748940
 -1.227777 , 5.4745020
 -1.224526 , 5.4747820
 -1.223671 , 5.4750160
 -1.222179 , 5.4745760
 -1.220177 , 5.4737400
 -1.217019 , 5.4736800
 -1.214492 , 5.4742730
 -1.213554 , 5.4729940
 -1.211829 , 5.4733860
 -1.209692 , 5.4727910
 -1.207854 , 5.4721680
 -1.206069 , 5.4733750
 -1.204600 , 5.4730270
 -1.201562 , 5.4729660
 -1.196745 , 5.4723650
 -1.192938 , 5.4705690
 -1.190207 , 5.4719610
 -1.186738 , 5.4724560
 -1.182176 , 5.4719620
 -1.174332 , 5.4721260
 -1.167787 , 5.4710910
 -1.162487 , 5.4703160
 -1.157377 , 5.4708390
 -1.150976 , 5.4693750
 -1.142052 , 5.4701380
 -1.134107 , 5.4692090
 -1.129396 , 5.4687620
 -1.124706 , 5.4693000
 -1.119183 , 5.4694410
 -1.112261 , 5.4683910
 -1.104589 , 5.4673040
 -1.098652 , 5.4661900
 -1.094842 , 5.4674860
 -1.090638 , 5.4677810
 -1.085597 , 5.4675050
 -1.077132 , 5.4674230
 -1.069438 , 5.4673760
 -1.064672 , 5.4664460
 -1.060597 , 5.4666710
 -1.054971 , 5.4664860
 -1.045292 , 5.4679080
 -1.034315 , 5.4663970
 -1.025743 , 5.4648410
 -1.017953 , 5.4653030
 -1.009390 , 5.4665350
 -0.998828 , 5.4662770
 -0.986845 , 5.4652760
 -0.973959 , 5.4635630
 -0.963846 , 5.4644120
 -0.955073 , 5.4643960
 -0.945788 , 5.4649680
 -0.932722 , 5.4652810
 -0.917812 , 5.4646180
