Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,standard 170+176 SnPb back
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,12:04:25
Irradiance:  ,999.970
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.8036
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.34894
Isc:         ,4.32768
Rseries:     ,0.02740
Rshunt:      ,5.08737
Pmax:        ,4.62275
Vpm:         ,1.13096
Ipm:         ,4.08742
Fill Factor: ,0.79186
Active Eff:  ,16.8621
Aperture Eff:,16.8621
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,999.900
IntV:        ,6.99118
IntV2:       ,7.00065
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,166.973
PulseWidth2: ,167.610
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.8957
TRef2:       ,25.5239
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,166.973
PulseWidth22:,167.610
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,166.973
PulseWidth23:,167.610
 Voltage:    , Current:
 -2.171119 , 5.1391540
 -2.170041 , 5.1390350
 -2.170003 , 5.1391510
 -2.169861 , 5.1368090
 -2.169841 , 5.1386410
 -2.169718 , 5.1384740
 -2.169716 , 5.1371480
 -2.169636 , 5.1371330
 -2.169533 , 5.1365690
 -2.169499 , 5.1340360
 -2.169352 , 5.1362510
 -2.169140 , 5.1351090
 -2.168995 , 5.1366830
 -2.168984 , 5.1343350
 -2.168864 , 5.1329800
 -2.168786 , 5.1342670
 -2.168532 , 5.1303100
 -2.168526 , 5.1329370
 -2.168480 , 5.1329360
 -2.168379 , 5.1319270
 -2.168337 , 5.1315370
 -2.168333 , 5.1332380
 -2.167996 , 5.1299130
 -2.167652 , 5.1307930
 -2.167636 , 5.1301040
 -2.167441 , 5.1282620
 -2.167349 , 5.1276620
 -2.167331 , 5.1277560
 -2.167272 , 5.1292620
 -2.167217 , 5.1278270
 -2.167159 , 5.1296440
 -2.166855 , 5.1263460
 -2.166681 , 5.1256250
 -2.166517 , 5.1261370
 -2.166434 , 5.1269610
 -2.166421 , 5.1270100
 -2.166222 , 5.1256840
 -2.166109 , 5.1236390
 -2.166073 , 5.1240670
 -2.165928 , 5.1240820
 -2.165913 , 5.1229520
 -2.165650 , 5.1236750
 -2.165528 , 5.1226770
 -2.165140 , 5.1210490
 -2.165039 , 5.1209910
 -2.164689 , 5.1182990
 -2.164640 , 5.1192170
 -2.164579 , 5.1217460
 -2.164524 , 5.1215440
 -2.164471 , 5.1180910
 -2.164419 , 5.1191900
 -2.164389 , 5.1195690
 -2.164045 , 5.1185770
 -2.163965 , 5.1190670
 -2.163710 , 5.1153410
 -2.163524 , 5.1178810
 -2.163489 , 5.1157030
 -2.163397 , 5.1150920
 -2.163353 , 5.1160420
 -2.162961 , 5.1162980
 -2.162877 , 5.1141980
 -2.162731 , 5.1155560
 -2.162695 , 5.1124980
 -2.162663 , 5.1114660
 -2.162500 , 5.1128830
 -2.162428 , 5.1134440
 -2.162299 , 5.1098810
 -2.162284 , 5.1096840
 -2.161952 , 5.1124290
 -2.161772 , 5.1112710
 -2.161729 , 5.1097480
 -2.161554 , 5.1111330
 -2.161440 , 5.1092210
 -2.161271 , 5.1094940
 -2.161233 , 5.1068220
 -2.161185 , 5.1072310
 -2.161146 , 5.1074960
 -2.160856 , 5.1065240
 -2.160722 , 5.1052330
 -2.160517 , 5.1052320
 -2.160515 , 5.1079700
 -2.160416 , 5.1037700
 -2.160204 , 5.1040110
 -2.160010 , 5.1051660
 -2.159882 , 5.1030310
 -2.159833 , 5.1022280
 -2.159758 , 5.1025940
 -2.159631 , 5.1005920
 -2.159538 , 5.1000530
 -2.159516 , 5.1042550
 -2.159505 , 5.1023330
 -2.159485 , 5.1015950
 -2.159119 , 5.0999160
 -2.158971 , 5.0964350
 -2.158831 , 5.0978620
 -2.158794 , 5.0951990
 -2.158718 , 5.1002700
 -2.158626 , 5.0998630
 -2.158302 , 5.0969500
 -2.158225 , 5.0966680
 -2.158128 , 5.0988770
 -2.158124 , 5.0954050
 -2.157894 , 5.0909460
 -2.157519 , 5.0937080
 -2.157461 , 5.0930610
 -2.157205 , 5.0935210
 -2.157193 , 5.0903940
 -2.157056 , 5.0928190
 -2.156908 , 5.0977940
 -2.156579 , 5.0940980
 -2.156564 , 5.0894270
 -2.156444 , 5.0910670
 -2.156262 , 5.0931410
 -2.156149 , 5.0889740
 -2.156140 , 5.0881610
 -2.156062 , 5.0914520
 -2.156027 , 5.0912760
 -2.155844 , 5.0880780
 -2.155839 , 5.0876110
 -2.155796 , 5.0860480
 -2.155344 , 5.0884060
 -2.155219 , 5.0845370
 -2.155131 , 5.0859580
 -2.154947 , 5.0850370
 -2.154941 , 5.0846870
 -2.154578 , 5.0848620
 -2.154522 , 5.0822170
 -2.154296 , 5.0815960
 -2.154034 , 5.0832320
 -2.154014 , 5.0836220
 -2.153913 , 5.0790290
 -2.153714 , 5.0810470
 -2.153605 , 5.0817910
 -2.153357 , 5.0804250
 -2.152973 , 5.0790650
 -2.152857 , 5.0796010
 -2.152843 , 5.0786300
 -2.152807 , 5.0770310
 -2.152481 , 5.0763660
 -2.152432 , 5.0787670
 -2.152346 , 5.0759770
 -2.152231 , 5.0751870
 -2.151945 , 5.0721240
 -2.151835 , 5.0762340
 -2.151828 , 5.0739130
 -2.151732 , 5.0735700
 -2.151567 , 5.0765960
 -2.151299 , 5.0722570
 -2.151030 , 5.0722390
 -2.150753 , 5.0720920
 -2.150553 , 5.0732750
 -2.150535 , 5.0692140
 -2.150190 , 5.0669360
 -2.150164 , 5.0711820
 -2.149763 , 5.0667020
 -2.149759 , 5.0699310
 -2.149593 , 5.0696100
 -2.149553 , 5.0668220
 -2.149510 , 5.0692570
 -2.149457 , 5.0672590
 -2.149121 , 5.0654210
 -2.148930 , 5.0651540
 -2.148928 , 5.0659100
 -2.148875 , 5.0639800
 -2.148617 , 5.0652550
 -2.148461 , 5.0634020
 -2.148383 , 5.0633410
 -2.148310 , 5.0613130
 -2.148266 , 5.0619180
 -2.148053 , 5.0616510
 -2.148050 , 5.0609610
 -2.147739 , 5.0594100
 -2.147268 , 5.0604580
 -2.147172 , 5.0561260
 -2.146876 , 5.0589160
 -2.146798 , 5.0566550
 -2.146755 , 5.0593580
 -2.146742 , 5.0550230
 -2.146500 , 5.0567520
 -2.146435 , 5.0585780
 -2.145908 , 5.0543530
 -2.145765 , 5.0525890
 -2.145759 , 5.0556450
 -2.145725 , 5.0569710
 -2.145526 , 5.0534220
 -2.145148 , 5.0533700
 -2.145032 , 5.0498540
 -2.145027 , 5.0507850
 -2.144958 , 5.0515200
