Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,tape 080+085 SnBiAg back
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,11:58:23
Irradiance:  ,1000.16
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.7639
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.35315
Isc:         ,4.30690
Rseries:     ,0.02868
Rshunt:      ,5.05838
Pmax:        ,4.59578
Vpm:         ,1.13541
Ipm:         ,4.04765
Fill Factor: ,0.78858
Active Eff:  ,16.7637
Aperture Eff:,16.7637
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,1000.31
IntV:        ,6.99040
IntV2:       ,7.00003
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,167.539
PulseWidth2: ,167.539
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.6704
TRef2:       ,25.2986
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,167.539
PulseWidth22:,167.539
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,167.539
PulseWidth23:,167.539
 Voltage:    , Current:
 -2.182879 , 5.1360790
 -2.181996 , 5.1341700
 -2.181913 , 5.1337190
 -2.181846 , 5.1361990
 -2.181712 , 5.1328500
 -2.181370 , 5.1323110
 -2.181350 , 5.1320520
 -2.181326 , 5.1358460
 -2.181180 , 5.1344470
 -2.181164 , 5.1347740
 -2.181130 , 5.1298950
 -2.181008 , 5.1317980
 -2.180785 , 5.1273900
 -2.180586 , 5.1312040
 -2.180551 , 5.1312270
 -2.180480 , 5.1321780
 -2.180295 , 5.1276110
 -2.180202 , 5.1286380
 -2.180021 , 5.1260160
 -2.179966 , 5.1277690
 -2.179812 , 5.1294740
 -2.179455 , 5.1294050
 -2.179384 , 5.1269330
 -2.179179 , 5.1229680
 -2.179017 , 5.1263830
 -2.178938 , 5.1265820
 -2.178864 , 5.1253160
 -2.178846 , 5.1232900
 -2.178813 , 5.1245520
 -2.178573 , 5.1245450
 -2.178331 , 5.1260860
 -2.178282 , 5.1210980
 -2.178265 , 5.1197380
 -2.178261 , 5.1240280
 -2.178072 , 5.1227300
 -2.177672 , 5.1185550
 -2.177634 , 5.1180650
 -2.177627 , 5.1234100
 -2.177288 , 5.1214750
 -2.177268 , 5.1207840
 -2.177252 , 5.1182170
 -2.177220 , 5.1183170
 -2.177143 , 5.1163020
 -2.176991 , 5.1212560
 -2.176912 , 5.1184120
 -2.176292 , 5.1182250
 -2.176210 , 5.1152820
 -2.176193 , 5.1146490
 -2.176184 , 5.1165820
 -2.176134 , 5.1159430
 -2.175893 , 5.1137770
 -2.175792 , 5.1168080
 -2.175671 , 5.1126400
 -2.175453 , 5.1117370
 -2.175396 , 5.1110280
 -2.175303 , 5.1116880
 -2.175284 , 5.1122560
 -2.175273 , 5.1138140
 -2.175263 , 5.1126470
 -2.174994 , 5.1104620
 -2.174824 , 5.1105810
 -2.174603 , 5.1082270
 -2.174518 , 5.1066730
 -2.174517 , 5.1118190
 -2.174397 , 5.1066000
 -2.174345 , 5.1087830
 -2.174051 , 5.1096380
 -2.174028 , 5.1086750
 -2.173998 , 5.1064920
 -2.173555 , 5.1065680
 -2.173553 , 5.1054210
 -2.173487 , 5.1075720
 -2.173466 , 5.1047120
 -2.173409 , 5.1026330
 -2.173059 , 5.1045840
 -2.172962 , 5.1032900
 -2.172704 , 5.1018890
 -2.172697 , 5.1040650
 -2.172502 , 5.1041120
 -2.172483 , 5.0997510
 -2.172317 , 5.1003330
 -2.172297 , 5.1017710
 -2.172238 , 5.1025800
 -2.171806 , 5.0969440
 -2.171736 , 5.1028630
 -2.171460 , 5.0981110
 -2.171447 , 5.0999160
 -2.171371 , 5.0968080
 -2.171325 , 5.1001240
 -2.171198 , 5.0956580
 -2.170926 , 5.0953760
 -2.170836 , 5.0961070
 -2.170835 , 5.0964750
 -2.170825 , 5.0994720
 -2.170425 , 5.0910390
 -2.170238 , 5.0916430
 -2.170233 , 5.0942150
 -2.170199 , 5.0953800
 -2.170119 , 5.0936390
 -2.169940 , 5.0952740
 -2.169518 , 5.0924340
 -2.169360 , 5.0902290
 -2.169193 , 5.0917390
 -2.169059 , 5.0922150
 -2.168978 , 5.0885430
 -2.168964 , 5.0892970
 -2.168751 , 5.0876740
 -2.168532 , 5.0852210
 -2.168507 , 5.0871820
 -2.168404 , 5.0896360
 -2.168391 , 5.0828940
 -2.168372 , 5.0896200
 -2.168278 , 5.0860770
 -2.167993 , 5.0864980
 -2.167847 , 5.0871690
 -2.167572 , 5.0830260
 -2.167362 , 5.0844810
 -2.167330 , 5.0836750
 -2.167017 , 5.0847610
 -2.166955 , 5.0803020
 -2.166693 , 5.0819040
 -2.166678 , 5.0835230
 -2.166584 , 5.0793730
 -2.166368 , 5.0816930
 -2.166348 , 5.0770540
 -2.166342 , 5.0809310
 -2.165916 , 5.0792240
 -2.165808 , 5.0771370
 -2.165648 , 5.0802500
 -2.165323 , 5.0758120
 -2.165251 , 5.0793490
 -2.165110 , 5.0761860
 -2.165024 , 5.0726610
 -2.164907 , 5.0764190
 -2.164826 , 5.0741310
 -2.164676 , 5.0749420
 -2.164666 , 5.0769220
 -2.164593 , 5.0731080
 -2.164433 , 5.0729320
 -2.164307 , 5.0747750
 -2.163992 , 5.0714030
 -2.163888 , 5.0714370
 -2.163745 , 5.0687510
 -2.163678 , 5.0696890
 -2.163561 , 5.0715920
 -2.163313 , 5.0673340
 -2.163194 , 5.0670900
 -2.163178 , 5.0719550
 -2.162879 , 5.0681760
 -2.162737 , 5.0672730
 -2.162672 , 5.0682960
 -2.162167 , 5.0652770
 -2.162092 , 5.0668280
 -2.162031 , 5.0655030
 -2.161967 , 5.0625970
 -2.161689 , 5.0618850
 -2.161657 , 5.0652380
 -2.161554 , 5.0630870
 -2.161336 , 5.0618790
 -2.161072 , 5.0652210
 -2.161050 , 5.0612530
 -2.160763 , 5.0589450
 -2.160690 , 5.0582270
 -2.160436 , 5.0607610
 -2.160413 , 5.0600570
 -2.160286 , 5.0621170
 -2.160034 , 5.0581560
 -2.159916 , 5.0567930
 -2.159897 , 5.0568460
 -2.159761 , 5.0592900
 -2.159636 , 5.0564170
 -2.159523 , 5.0537920
 -2.159423 , 5.0561280
 -2.158771 , 5.0530740
 -2.158735 , 5.0540750
 -2.158701 , 5.0530960
 -2.158595 , 5.0544200
 -2.158520 , 5.0543480
 -2.158335 , 5.0512080
 -2.158180 , 5.0502790
 -2.158151 , 5.0494960
 -2.158137 , 5.0507110
 -2.157491 , 5.0480030
 -2.157432 , 5.0475550
 -2.157407 , 5.0491340
 -2.157329 , 5.0479920
 -2.157282 , 5.0506100
 -2.157230 , 5.0453800
