Title:       ,Ning-LJ two half cells module
 -2.131853 , 5.0821050
 -2.131691 , 5.0802450
 -2.131671 , 5.0830130
 -2.131346 , 5.0842400
 -2.131140 , 5.0803190
 -2.130905 , 5.0752260
 -2.130884 , 5.0796710
 -2.130722 , 5.0789340
 -2.130584 , 5.0803110
 -2.130275 , 5.0770900
 -2.130040 , 5.0758700
 -2.129846 , 5.0771610
 -2.129800 , 5.0763040
 -2.129718 , 5.0770950
 -2.129655 , 5.0734350
 -2.129359 , 5.0726310
 -2.129154 , 5.0753130
 -2.128824 , 5.0740150
 -2.128611 , 5.0727960
 -2.128432 , 5.0713520
 -2.128279 , 5.0755360
 -2.128270 , 5.0712610
 -2.128225 , 5.0711740
 -2.127748 , 5.0717790
 -2.127720 , 5.0683580
 -2.127715 , 5.0699720
 -2.127481 , 5.0675140
 -2.127360 , 5.0700980
 -2.126970 , 5.0679920
 -2.126821 , 5.0650680
 -2.126743 , 5.0650880
 -2.126711 , 5.0645140
 -2.126694 , 5.0675690
 -2.126632 , 5.0671960
 -2.126595 , 5.0675450
 -2.126555 , 5.0632630
 -2.125920 , 5.0642730
 -2.125578 , 5.0655400
 -2.125480 , 5.0628930
 -2.125435 , 5.0585270
 -2.125243 , 5.0625310
 -2.125209 , 5.0578470
 -2.125051 , 5.0601330
 -2.124870 , 5.0614040
 -2.124762 , 5.0598760
 -2.124700 , 5.0619750
 -2.124082 , 5.0560830
 -2.124048 , 5.0569470
 -2.123993 , 5.0539560
 -2.123803 , 5.0592410
 -2.123735 , 5.0567900
 -2.123628 , 5.0590510
 -2.123400 , 5.0542860
 -2.123188 , 5.0508790
 -2.122761 , 5.0560740
 -2.122747 , 5.0543200
 -2.122688 , 5.0524460
 -2.122492 , 5.0541730
 -2.121814 , 5.0531920
 -2.121784 , 5.0474860
 -2.121742 , 5.0488810
 -2.121656 , 5.0498450
 -2.121610 , 5.0511620
 -2.121590 , 5.0511190
 -2.121575 , 5.0503040
 -2.121233 , 5.0485320
 -2.120909 , 5.0453470
 -2.120807 , 5.0449420
 -2.120725 , 5.0482360
 -2.120310 , 5.0472920
 -2.120162 , 5.0419030
 -2.120033 , 5.0432470
 -2.119630 , 5.0458530
 -2.119421 , 5.0439950
 -2.119375 , 5.0457380
 -2.119162 , 5.0415620
 -2.118826 , 5.0425890
 -2.118722 , 5.0394710
 -2.118563 , 5.0416470
 -2.118423 , 5.0406920
 -2.118263 , 5.0389990
 -2.118192 , 5.0388220
 -2.117843 , 5.0368990
 -2.117770 , 5.0401920
 -2.117737 , 5.0361860
 -2.117514 , 5.0383650
 -2.117000 , 5.0372780
 -2.116744 , 5.0350500
 -2.116498 , 5.0363280
 -2.116368 , 5.0320620
 -2.116254 , 5.0347630
 -2.115840 , 5.0342610
 -2.115622 , 5.0336220
 -2.115494 , 5.0313650
 -2.115470 , 5.0322170
 -2.115288 , 5.0298680
 -2.115065 , 5.0309000
 -2.114980 , 5.0302680
 -2.114636 , 5.0306820
 -2.114503 , 5.0267520
 -2.114373 , 5.0291250
 -2.114328 , 5.0266280
 -2.114281 , 5.0260400
 -2.114050 , 5.0269610
 -2.113745 , 5.0256640
 -2.113250 , 5.0242000
 -2.113158 , 5.0228460
 -2.112764 , 5.0260830
 -2.112543 , 5.0201910
 -2.112519 , 5.0220950
 -2.112334 , 5.0197220
 -2.112320 , 5.0229650
 -2.112071 , 5.0232940
 -2.111802 , 5.0201550
 -2.111772 , 5.0202620
 -2.111568 , 5.0176320
 -2.111376 , 5.0182250
 -2.111345 , 5.0196990
 -2.110705 , 5.0171520
 -2.110575 , 5.0156710
 -2.110309 , 5.0155720
 -2.110073 , 5.0164590
 -2.109959 , 5.0156340
 -2.109675 , 5.0118410
 -2.109524 , 5.0147030
 -2.109298 , 5.0116170
 -2.109214 , 5.0117370
 -2.108839 , 5.0108180
 -2.108421 , 5.0112750
 -2.107973 , 5.0070600
 -2.107893 , 5.0077600
 -2.107863 , 5.0110360
 -2.107841 , 5.0082390
 -2.107534 , 5.0081690
 -2.107497 , 5.0099730
 -2.107325 , 5.0059000
 -2.107103 , 5.0056860
 -2.106915 , 5.0050370
 -2.106426 , 5.0057240
 -2.106353 , 5.0047160
 -2.106104 , 5.0037430
 -2.106068 , 5.0027200
 -2.106012 , 5.0017610
 -2.105711 , 5.0005700
 -2.105211 , 4.9999990
 -2.105124 , 5.0012850
 -2.104996 , 5.0010450
 -2.104630 , 4.9988150
 -2.104451 , 4.9979260
 -2.104370 , 4.9974190
 -2.103857 , 4.9959340
 -2.103842 , 4.9938250
 -2.103819 , 4.9949230
 -2.103446 , 4.9982340
 -2.103432 , 4.9965710
 -2.103032 , 4.9938230
 -2.102731 , 4.9936850
 -2.102616 , 4.9897920
 -2.102479 , 4.9921740
 -2.102344 , 4.9933370
 -2.102102 , 4.9903140
 -2.101825 , 4.9897110
 -2.101767 , 4.9903930
 -2.101146 , 4.9890410
 -2.101079 , 4.9877230
 -2.101016 , 4.9865160
 -2.100267 , 4.9867450
 -2.100198 , 4.9854730
 -2.100115 , 4.9838890
 -2.100107 , 4.9849660
 -2.099426 , 4.9833820
 -2.099248 , 4.9818660
 -2.099086 , 4.9830640
 -2.099002 , 4.9812830
 -2.098967 , 4.9831910
 -2.098378 , 4.9791250
 -2.097907 , 4.9796090
 -2.097511 , 4.9789460
 -2.097468 , 4.9787900
 -2.097234 , 4.9733010
 -2.097133 , 4.9780780
 -2.096742 , 4.9752350
 -2.096667 , 4.9772120
 -2.096666 , 4.9737800
 -2.096445 , 4.9749040
 -2.095777 , 4.9739920
 -2.095651 , 4.9715620
 -2.095389 , 4.9725510
 -2.095362 , 4.9698130
 -2.095229 , 4.9737880
 -2.094655 , 4.9698810
 -2.094584 , 4.9683340
 -2.094360 , 4.9672860
 -2.093807 , 4.9660690
 -2.093690 , 4.9694150
 -2.093639 , 4.9682950
 -2.093111 , 4.9658320
 -2.092917 , 4.9648180
 -2.092288 , 4.9626210
 -2.092170 , 4.9652450
 -2.092120 , 4.9609390
 -2.091996 , 4.9615820
 -2.091977 , 4.9637420
 -2.091747 , 4.9583850
 -2.090986 , 4.9585420
 -2.090892 , 4.9612880
 -2.090575 , 4.9610270
 -2.090178 , 4.9558400
 -2.090032 , 4.9572390
 -2.089453 , 4.9545530
 -2.089130 , 4.9563530
 -2.089117 , 4.9580810
 -2.088733 , 4.9544190
 -2.088636 , 4.9539450
 -2.088285 , 4.9532850
 -2.088117 , 4.9523210
 -2.088064 , 4.9498020
 -2.088025 , 4.9528800
 -2.087817 , 4.9502910
 -2.087164 , 4.9500830
 -2.086650 , 4.9479930
 -2.086419 , 4.9468740
 -2.086339 , 4.9501700
 -2.086250 , 4.9455080
 -2.086097 , 4.9437520
 -2.085948 , 4.9455890
 -2.085127 , 4.9444410
 -2.085026 , 4.9429780
 -2.084446 , 4.9422630
 -2.084366 , 4.9400030
 -2.084261 , 4.9411250
 -2.083894 , 4.9376760
 -2.083833 , 4.9393120
 -2.083812 , 4.9417740
 -2.083067 , 4.9377060
 -2.082892 , 4.9378310
 -2.082288 , 4.9373070
 -2.082251 , 4.9351990
 -2.081528 , 4.9339040
 -2.081394 , 4.9352430
 -2.081353 , 4.9332090
 -2.081048 , 4.9312730
 -2.080916 , 4.9311110
 -2.080435 , 4.9312820
 -2.080158 , 4.9290140
 -2.079978 , 4.9306220
 -2.079905 , 4.9277930
 -2.079508 , 4.9291770
 -2.078996 , 4.9255640
 -2.078555 , 4.9275450
 -2.078319 , 4.9256610
 -2.078296 , 4.9240590
 -2.078248 , 4.9251880
 -2.077474 , 4.9227730
 -2.077432 , 4.9214200
 -2.076984 , 4.9231060
 -2.076771 , 4.9207290
 -2.076179 , 4.9193840
 -2.076138 , 4.9188580
 -2.075344 , 4.9186870
 -2.075292 , 4.9159230
 -2.075200 , 4.9172200
 -2.074929 , 4.9150300
 -2.074362 , 4.9163170
 -2.074359 , 4.9125030
 -2.074059 , 4.9119830
 -2.074000 , 4.9139070
 -2.073507 , 4.9121980
 -2.073043 , 4.9116440
 -2.072754 , 4.9098860
 -2.072031 , 4.9102110
 -2.071989 , 4.9091850
 -2.071801 , 4.9080360
 -2.071748 , 4.9056170
 -2.071571 , 4.9056080
 -2.070545 , 4.9039870
 -2.070536 , 4.9033860
 -2.070227 , 4.9055580
 -2.069616 , 4.9035390
 -2.069312 , 4.9021980
 -2.069069 , 4.8987860
 -2.068952 , 4.8996440
 -2.068395 , 4.9012310
 -2.067902 , 4.8994850
 -2.067512 , 4.8961430
 -2.067371 , 4.8977470
 -2.067083 , 4.8952990
 -2.067068 , 4.8964220
 -2.065783 , 4.8924710
 -2.065624 , 4.8949070
 -2.065425 , 4.8928830
 -2.065263 , 4.8918590
 -2.064666 , 4.8907000
 -2.064173 , 4.8904640
 -2.064061 , 4.8882460
 -2.064034 , 4.8899890
 -2.063374 , 4.8870780
 -2.062853 , 4.8856170
 -2.062847 , 4.8861630
 -2.062058 , 4.8821000
 -2.062046 , 4.8851810
 -2.061792 , 4.8833190
 -2.061079 , 4.8822150
